count,genre,topic,correct_answer
3,drama,family,"The Pursuit of Happyness, Little Miss Sunshine, The Blind Side"
2,science fiction,space exploration,"Interstellar, The Martian, Gravity"
1,horror,haunted house,"The Conjuring, Insidious, Poltergeist"
3,fantasy,mythical creatures,"Harry Potter, The Lord of the Rings, The Chronicles of Narnia"
1,romance,forbidden love,"Romeo and Juliet, Titanic, The Notebook"
2,mystery,detective,"Sherlock Holmes, Knives Out, The Girl with the Dragon Tattoo"
2,thriller,espionage,"Mission Impossible, Tinker Tailor Soldier Spy, Skyfall"
1,comedy,satire,"The Great Dictator, Superbad, The Grand Budapest Hotel"
3,adventure,lost civilizations,"Indiana Jones, Journey to the Center of the Earth, Lara Croft: Tomb Raider"
1,biography,historical figures,"The Imitation Game, Lincoln, Schindler's List"
