startup_name,startup_idea,startup_founder
FoodieFinder,"An app for discovering local, unique dining experiences.",Zoe Kellerman
CodeCove,Online peer-to-peer coding mentorship platform.,Oliver Chen
EcoMovers,A sustainable logistics company using electric vehicles.,Hannah Rodriguez
PetNet,A social network for pet owners to share tips and arrange meetups.,Arjun Gupta
HealthTrack,AI-powered health and fitness app that provides personalized workout and nutrition plans.,Amina Yusuf
StudyBuddy,AI-based platform that offers personalized learning paths for students.,Elliott Baker
GreenGrow,"Subscription service for urban gardeners providing seeds, soil, and tips.",Lena Schwartz
SpaceSaver,A marketplace to rent unused storage spaces in private homes.,Hiroshi Tanaka
ChefAR,An augmented reality cooking app that offers real-time culinary assistance.,Carmen Martinez
SkillBridge,Online platform connecting freelancers with local businesses.,Dev Patel
